province,year,GDP (100million),GDP per capita,Agricultural population (10thousand),Rural final consumption expenditure (100million),Total export (10000 USD),Fixed asset investment (10000),Urban residents final consumption expenditure (100million),Total population (10thousand),Primary industry added value (100million),Tertiary industry added value (100million),Secondary industry added value (100million),Fiscal expenditure (10000),Fiscal revenue (10000),Total import and export (10000 USD),Total import (10000 USD),Non-agricultural population (10thousand)
上海市,1949年,20.28,274,35.17,1.52,8200,1100,10.73,502.92,1.45,9.27,9.56,,3400,9300,9300,467.75
上海市,1950年,22.43,309,35.38,1.74,10400,2200,13.17,492.73,1.66,10.69,10.08,,73600,11900,11900,457.35
上海市,1951年,31.52,388,35.75,2.05,10000,7400,19.55,552.2,1.96,13.95,15.61,,169400,10800,10800,516.45
上海市,1952年,36.66,430,36.55,2.28,11900,19800.0,17.29,572.63,2.17,15.27,19.22,,193000,12500,600,536.08
上海市,1953年,51.71,590,38.09,2.42,18300,36500.0,20.7,615.24,2.51,20.45,28.75,,283300,18900,18900,577.15
上海市,1954年,54.7,589,40.14,2.28,27400,32500.0,20.06,662.71,2.26,22.77,29.67,,321400,31700,31700,622.57
上海市,1955年,53.64,569,40.34,2.2,36000,34300.0,19.3,623.1,2.71,21.54,29.39,,310500,39400,39400,582.76
上海市,1956年,63.61,681,38.19,2.39,47700,37600.0,20.55,634.94,2.38,25.98,35.25,,402200,49800,49800,596.75
上海市,1957年,69.6,713,38.04,2.75,45200,52000.0,22.3,689.7,2.7,26.07,40.83,,457700,49000,49000,651.65
上海市,1958年,95.61,952,64.35,2.66,62900,113200.0,23.49,750.8,3.57,27.38,64.66,,726400,69500,69500,686.45
上海市,1959年,128.49,1268,325.41,3.23,74200,156100.0,24.93,1028.4,4.29,29.38,94.82,,1010600,79600,79600,702.98
上海市,1960年,158.39,1521,332.19,3.78,62000,176400.0,24.77,1056.3,4.23,30.8,123.36,,1211000,67300,67300,724.11
上海市,1961年,101.78,966,336.02,4.15,55500,72100.0,25.47,1059.0,4.43,26.29,71.06,,737300,58100,58100,638.2
上海市,1962年,84.72,803,350.65,4.19,55400,38300.0,24.23,1057.9,4.51,21.41,58.8,,617000,57900,57900,707.21
上海市,1963年,90.69,851,363.49,4.4,59500,53200.0,23.44,1073.64,4.54,20.43,65.72,,679900,61900,61900,710.15
上海市,1964年,100.7,933,373.39,5.13,65200,72200.0,24.02,1086.22,6.24,22.29,72.17,,733500,68900,68900,712.83
上海市,1965年,113.55,1042,377.75,5.42,76500,77500.0,24.89,1093.8,6.5,24.13,82.92,,831800,82500,82500,689.0
上海市,1966年,124.81,1140,387.3,5.94,87400,72300.0,26.65,1096.0,6.8,25.74,92.27,,924900,91200,91200,708.53
上海市,1967年,110.04,999,383.65,6.28,84200,46100.0,26.78,1106.0,7.2,23.33,79.51,,739700,88900,88900,722.07
上海市,1968年,123.24,1113,391.72,7.24,84900,45800.0,25.15,1109.0,8.31,25.73,89.2,,839800,88300,88300,717.25
上海市,1969年,142.3,1292,399.79,7.02,87600,74500.0,26.98,1094.0,7.91,28.31,106.08,,1023000,89200,89200,694.2
上海市,1970年,156.67,1446,410.55,6.97,86700,109000.0,25.98,1072.55,7.42,28.43,120.82,,1140200,91300,91300,580.0
上海市,1971年,164.86,1541,421.72,7.46,98100,113600.0,26.53,1066.82,7.57,29.06,128.23,,1235300,103900,103900,645.1
上海市,1972年,170.98,1605,423.82,8.44,133000,132200.0,27.17,1064.11,8.54,29.62,132.82,,1291100,139300,139300,640.29
上海市,1973年,185.35,1737,433.31,9.27,231600,162400.0,28.85,1070.01,8.97,33.99,142.39,,1381800,239600,239600,636.7
上海市,1974年,193.45,1805,433.59,10.23,243900,224300.0,30.46,1073.8,9.45,36.14,147.86,,1430400,253700,253700,640.19
上海市,1975年,204.12,1898,438.35,10.79,222000,325400.0,31.91,1076.72,8.22,38.36,157.54,,1471100,232800,232800,604.0
上海市,1976年,208.12,1929,443.97,11.25,197800,245200.0,32.8,1081.3,8.79,40.44,158.89,,1444200,210300,210300,637.33
上海市,1977年,230.36,2125,454.06,11.49,222100,180000.0,33.06,1086.5,7.98,45.4,176.98,,1599100,232100,232100,632.41
上海市,1978年,272.81,2500.0,453.05,12.82,289300,279100.0,35.43,1104.0918,11.0,50.76,211.05,,1906700,302600,13300,645.23
上海市,1979年,286.43,2600.0,444.76,17.02,367500,355800.0,41.78,1147.0,11.39,53.83,221.21,,1927500,387800,387800,687.38
上海市,1980年,311.89,2700.0,444.09,19.43,426600,454300.0,46.88,1162.8,10.1,65.69,236.1,,1988500,450600,24000,659.0
上海市,1981年,324.76,2800.0,447.76,23.25,380700,546000.0,50.44,1168.0126,10.58,69.84,244.34,,2045200,415000,415000,715.08
上海市,1982年,337.07,2900.0,449.2,26.41,360500,713400.0,48.61,1186.0,13.31,74.44,249.32,,2006900,389300,389300,731.31
上海市,1983年,351.81,2900.0,448.15,26.91,364800,759400.0,54.73,1201.4,13.52,82.97,255.32,,2043400,414000,414000,745.86
上海市,1984年,390.85,3200.0,444.03,31.1,358700,923000.0,63.46,1216.99,17.26,98.22,275.37,,2157900,440000,440000,719.0
上海市,1985年,466.75,3800.0,440.32,38.35,336100,1185600.0,86.43,1232.79,19.53,121.59,325.63,,2638600,517400,181300,736.0
上海市,1986年,490.83,3900.0,429.77,42.49,358200,1469300.0,103.24,1248.79,19.69,135.12,336.02,570000,2577200,520400,162200,752.0
上海市,1987年,545.46,4300.0,427.2,47.23,416000.0,1863000.0,113.86,1265.0,21.6,159.48,364.38,502000,2413600,599600.0,183600,768.0
上海市,1988年,648.3,5100.0,423.49,55.97,460500.0,2452700.0,155.07,1287.594,27.36,187.89,433.05,646000,2616900,724500.0,264000,782.0
上海市,1989年,696.54,5400.0,420.61,61.15,503200.0,2147600.0,183.45,1276.45,29.63,200.73,466.18,731000,2972500,784800.0,281600,803.0
上海市,1990年,781.66,5900.0,418.89,66.15,532100.0,2270800.0,218.64,1283.35,34.24,241.82,505.6,757000,2843600,743100.0,211000.0,864.46
上海市,1991年,893.77,6700.0,417.32,72.17,574000.0,2583000.0,238.92,1340.0,34.06,309.07,550.64,1015000,3246600,804400.0,230400,815.0
上海市,1992年,1054.0,8200.0,413.82,84.86,655500.0,3573800.0,281.23,1345.0,35.0,348.0,671.0,855000.0,3401000.0,975700.0,320200.0,820.0
上海市,1993年,1511.61,11700.0,401.28,110.3,738200.0,6423800.0,445.15,1349.0,38.21,573.07,900.33,1197000.0,4395300.0,1273200.0,535000.0,856.0
上海市,1994年,1990.86,14300.0,388.32,130.08,915722.0,11232900.0,602.63,1356.0,46.42,804.58,1139.86,1908000,6159100.0,1586700.0,1139353.0,910.49
上海市,1995年,2518.08,17900.0,379.67,152.9,1157700.0,16017900.0,773.64,1415.0,58.32,1039.84,1419.92,2600023.0,7024600.0,1902500.0,744800.0,921.7
上海市,1996年,2980.75,20800.0,372.29,168.13,1323800.0,17908000.0,912.66,1419.0,67.0,1315.01,1598.74,3332000.0,8737600.0,2226300.0,902500.0,932.14
上海市,1997年,3360.2,25739.0,362.4344,176.5,1472400.0,17576000.0,1085.62,1457.0,75.8,1530.0,1754.4,4088139.0,10709500.0,2476400.0,1004000.0,943.03
上海市,1998年,3831.0,25400.0,352.9326,178.52,1595600.0,17987000.0,1200.89,1464.0,71.99,1882.88,1876.13,4700500.0,11460000.0,3134400.0,1538800.0,953.6519
上海市,1999年,4222.3,27300.0,343.4922,176.73,1878500.0,18567200.0,1352.22,1474.0,72.63,2159.58,1990.09,5335400.0,13905800.0,3860400.0,1981900.0,969.63
上海市,2000年,4812.15,30000.0,335.5,176.79,2535400.0,18696700.0,1579.48,1641.0,74.76,2521.64,2215.75,6086000.0,17526900.0,5471000.0,2935600.0,986.16
上海市,2001年,4950.84,31800.0,328.07,181.22,2762800.0,17935700.0,1729.22,1668.0,85.5,2509.81,2355.53,7081382.0,19956200.0,6089800.0,3327000.0,999.0727
上海市,2002年,5795.02,34300.0,315.4204,185.58,3205500.0,21870600.0,1949.21,1713.0,77.69,3082.05,2635.28,8624000.0,22022500.0,7266400.0,4060900.0,1018.81
上海市,2003年,6804.04,39100.0,300.38,187.78,4848200.0,24521100.0,2249.66,1766.0,78.99,3485.43,3239.62,10884400.0,28288700.0,11239700.0,6391500.0,1041.39
上海市,2004年,8101.55,45000.0,254.7933,186.78,7352000.0,30846600.0,2682.48,1835.0,81.39,4148.0,3872.16,13825300.0,35917300.0,16002600.0,8650600.0,1097.6
上海市,2005年,9197.13,49400.0,211.32,194.59,9074200.0,31985700.0,3138.4,1778.0,88.06,4794.17,4314.9,16463000.0,40958100.0,18636500.0,9562300.0,1148.9413
上海市,2006年,10598.86,55000.0,194.7828,223.98,11357300.0,39250900.0,3634.56,1964.0,91.55,5578.15,4929.16,17956000.0,47989300.0,22748900.0,11391600.0,1173.3
上海市,2007年,12878.68,64000.0,181.9178,245.87,14392800.0,44586100.0,4364.49,2064.0,99.39,7101.78,5677.51,21817000.0,73102600.0,28297300.0,13904500.0,1196.9438
上海市,2008年,13698.0,73124.0,,275.97,16935000.0,47900000.0,5015.42,1888.0,112.0,7350.0,6236.0,25939220.0,75329100.0,32213800.0,15278800.0,1216.56
上海市,2009年,14900.9,78225.0,164.5394,303.69,14188000.0,51437000.0,5481.17,1921.0,113.8,8847.2,5940.0,29896500.0,25403000.0,27773100.0,13581700.0,1236.16
上海市,2010年,16872.42,76074.0,157.3745,339.32,18078400.0,48392400.0,6946.2,2303.0,114.0,9834.0,7218.0,33028900.0,28736000.0,36886900.0,18808500.0,1254.95
上海市,2011年,20009.68,85900.0,1516015.0,442.07,20978900.0,50670900.0,7802.92,2356.0,126.44,11713.9,8169.34,39148800.0,34298300.0,43743600.0,22764700.0,1267.76
上海市,2012年,21305.59,89600.0,146.1139,468.3,20680700.0,52543800.0,8253.0,2399.0,129.33,13002.13,8174.13,41840200.0,37437100.0,43675800.0,22995100.0,1280.8
上海市,2013年,21602.1,90092.0,142.7604,516.99,20418000.0,56441300.0,8988.42,2448.0,129.3,13445.1,8027.8,45286100.0,41095100.0,44139800.0,23715400.0,1289.5787
上海市,2014年,23567.7,97370.0,139.1946,574.0,21027700.0,60164300.0,9835.4,2467.0,131.96,16504.54,8633.25,49234400.0,45855500.0,46662200.0,25634500.0,1299.4998
上海市,2015年,25123.45,103796.0,,635.71,19696900.0,63493900.0,10469.56,2458.0,125.53,18352.84,8408.65,61915600.0,55195000.0,45173300.0,25476400.0,
上海市,2016年,28178.65,116562.0,293,701.02,18346700.0,67558800.0,11298.59,2467.0,114.34,21202.44,8570.24,69189400.0,64061300.0,43380500.0,25033800.0,
上海市,2017年,30632.99,126634.0,,756.15,19368100.0,72466000.0,12213.95,2466.0,110.78,23288.34,9525.89,75476200.0,66422600.0,47612300.0,28244200,
上海市,2018年,32679.87,134982.0,,,20717000.0,76236900,,2475.0,104.78,25546.26,10360.78,83520000.0,71081500.0,51564900.0,30847900,
上海市,2019年,38155.3,157279.0,,,19900000.0,,,2481.0,103.9,27752.3,10299.2,,,49380300.0,29486400,
上海市,2020年,38700.6,155768.0,,,19811000.0,,,2488.0,103.6,28307.5,10289.5,81021100.0,70463000.0,50318900.0,30508200.0,
上海市,2021年,43214.9,173630.0,,,24331000.0,,,2489.0,100.0,31665.6,11449.3,84308600.0,77718000.0,62860000.0,38529000.0,
上海市,2022年,44653.0,179907.0,,,,,,2475.0,97.0,33097.4,11458.4,,,62724000.0,,
云南省,1949年,8.93,56,1416.8,,,,,1595,6.26,1.7,0.97,,,,,178.2
云南省,1950年,9.53,59,1445,,,700,,1626.73,6.44,1.98,1.11,,,5,,181.7
云南省,1951年,10.54,64,1474.8,,,2300,,1660.23,6.76,2.37,1.41,,,5,,185.4
云南省,1952年,11.78,70,1505.8,,5,5900.0,,1695.1,7.27,2.69,1.82,9900,18700,32,,189.3
云南省,1953年,14.86,87,1537.3,,100,14900.0,,1713.3,8.87,3.11,2.88,,,228,,193.3
云南省,1954年,17.03,97,1610.5,,57,17700.0,,1767.8,9.92,3.54,3.57,,,148,,157.2
云南省,1955年,18.34,103,1618.7,,33,16100.0,,1814.7,10.44,3.77,4.13,15023,23559,100,,187.2
云南省,1956年,21.33,117,1654.3,,3,26800.0,,1855.1,11.6,4.62,5.11,23742,26121,101,,187.3
云南省,1957年,22.53,121,1717,,262,29000.0,,1896.8,12.47,4.63,5.43,22817,29152,400,,179.8
云南省,1958年,23.21,122,1647.4,,1892,75000.0,,1914.5,9.57,5.65,7.99,85082,63453,2543,,267.1
云南省,1959年,25.35,133,1655.5,,4818,103500.0,,1921.4,9,6.34,10.01,93224,85112,5000,,256.5
云南省,1960年,25.43,134,1615.9,,4244,108200.0,,1894.6,8.83,6.1,10.5,110405,95532,4400,,278.7
云南省,1961年,22.9,121,1704.3,,3723,38700.0,,1899.9,11.16,4.46,7.28,45449,56644,3800,,195.5
云南省,1962年,24.5,127,1776.5,,3089,18500.0,,1963.7,13.64,4.31,6.55,23244,46918,3147,,187.2
云南省,1963年,25.63,129,1826.5,,2814,26400.0,,2021.1,14.01,4.51,7.11,34038,46888,2900,,195.6
云南省,1964年,29.25,142,1882.2,,2451,42600.0,,2051.0,16.18,4.88,8.19,42776,51577,2527,,206.2
云南省,1965年,33.62,158,1925.5,,2442,88000.0,,2160.4,17.31,5.3,11.01,56723,50285,2634,,234.9
云南省,1966年,36.39,166,1981.2,,1896,114200.0,,2232.0,18.37,5.84,12.18,64343,54367,2228,,250.7
云南省,1967年,34.18,151,2037.7,,1713,86300.0,,2287.13,18.49,5.52,10.17,51110,45128,2200,,249.5
云南省,1968年,26.51,114,2107.5,,1303,42500.0,,2367.0,17.36,4.41,4.74,36197,15346,1811,,254.2
云南省,1969年,34.34,144,2178.5,,206,76800.0,,2423.0,18.63,5.7,10.01,62612,41865,700,,244.3
云南省,1970年,38.52,156,2256,,181,103100.0,,2503.3,18.87,6.27,13.38,105651,79321,940,,247.3
云南省,1971年,43.47,171,2331.7,,347,103100.0,,2592.7,21.99,6.91,14.57,100833,84395,1700,,261
云南省,1972年,49.5,188,2381.9,,2740,102900.0,,2663.1,24.84,7.77,16.89,110589,86299,3700,,281.2
云南省,1973年,54.57,202,2461.7,,3323,106900.0,,2746.9,27.23,8.49,18.85,118483,91997,4228,,285.2
云南省,1974年,51.78,186,2524.7,,5705,107600.0,,2819.0,24.29,8.51,18.98,123455,87721,6938,,294.3
云南省,1975年,54.29,190,2585.9,,5011,110900.0,,2884.3,26.34,8.83,19.12,120514,85915,6400,,298.4
云南省,1976年,49.27,169,2646.7,,5429,100200.0,,2951.7,25.7,8.61,14.96,116483,50833,6900,,305
云南省,1977年,55.84,187,2712.4,,5617,97200.0,,3024.6,24.36,10.03,21.45,132476,77204,7300,,312.2
